Occupational Therapist

ANZSCO 252411
Physiotherapist

ANZSCO 252511
Podiatrist

ANZSCO 252611
Audiologist

ANZSCO 252711
Speech Pathologist

ANZSCO 252712
General Practitioner

ANZSCO 253111
Resident Medical Officer

ANZSCO 253112
Anaesthetist

ANZSCO 253211
Specialist Physician (General Medicine)

ANZSCO 253311
Cardiologist

ANZSCO 253312
Clinical Haematologist

ANZSCO 253313
Medical Oncologist

ANZSCO 253314
Endocrinologist

ANZSCO 253315
Gastroenterologist

ANZSCO 253316
Intensive Care Specialist

ANZSCO 253317
Neurologist

ANZSCO 253318
Paediatrician

ANZSCO 253321
Renal Medicine Specialist

ANZSCO 253322
Rheumatologist

ANZSCO 253323
Thoracic Medicine Specialist

ANZSCO 253324
Specialist Physicians nec

ANZSCO 253399
Psychiatrist

ANZSCO 253411
Surgeon (General)

ANZSCO 253511
Cardiothoracic Surgeon

ANZSCO 253512
Neurosurgeon

ANZSCO 253513
Orthopaedic Surgeon

ANZSCO 253514
Otorhinolaryngologist

ANZSCO 253515
Paediatric Surgeon

ANZSCO 253516
Plastic and Reconstructive Surgeon

ANZSCO 253517
Urologist

ANZSCO 253518
Vascular Surgeon

ANZSCO 253521
Dermatologist

ANZSCO 253911
Emergency Medicine Specialist

ANZSCO 253912
Obstetrician and Gynaecologist

ANZSCO 253913
Ophthalmologist

ANZSCO 253914
Pathologist

ANZSCO 253915
Diagnostic and Interventional Radiologist

ANZSCO 253917
Radiation Oncologist

ANZSCO 253918
Medical Practitioners nec

ANZSCO 253999
Midwife

ANZSCO 254111
Nurse Educator

ANZSCO 254211
Nurse Researcher

ANZSCO 254212
Nurse Manager

ANZSCO 254311
Nurse Practitioner

ANZSCO 254411
Registered Nurse (Aged Care)

ANZSCO 254412
Registered Nurse (Child And Family Health)

ANZSCO 254413
Registered Nurse (Community Health)

ANZSCO 254414
Registered Nurse (Critical Care And Emergency)

ANZSCO 254415
Registered Nurse (Developmental Disability)

ANZSCO 254416
Registered Nurse (Disability And Rehabilitation)

ANZSCO 254417
Registered Nurse (Medical)

ANZSCO 254418
Registered Nurse (Medical Practice)

ANZSCO 254421
Registered Nurse (Mental Health)

ANZSCO 254422
Registered Nurse (Perioperative)

ANZSCO 254423
Registered Nurse (Surgical)

ANZSCO 254424
Registered Nurse (Paediatrics)

ANZSCO 254425
Registered Nurses nec

ANZSCO 254499
ICT Professionals
ICT Business Analyst

ANZSCO 261111
Systems Analyst

ANZSCO 261112
Multimedia Specialist

ANZSCO 261211
Web Developer

ANZSCO 261212
Analyst Programmer

ANZSCO 261311
Developer Programmer

ANZSCO 261312
Software Engineer

ANZSCO 261313
Software Tester

ANZSCO 261314
Software and Applications Programmers nec

ANZSCO 261399
Database Administrator

ANZSCO 262111
ICT Security Specialist

ANZSCO 262112
Systems Administrator

ANZSCO 262113
Computer Network and Systems Engineer

ANZSCO 263111
Network Administrator

ANZSCO 263112
Network Analyst

ANZSCO 263113
ICT Quality Assurance Engineer

ANZSCO 263211
ICT Support Engineer

ANZSCO 263212
ICT Systems Test Engineer

ANZSCO 263213
ICT Support and Test Engineers nec

ANZSCO 263299
Telecommunications Engineer

ANZSCO 263311
Telecommunications Network Engineer

ANZSCO 263312
"Legal, Social & Welfare Professionals"
Barrister

ANZSCO 271111
Intellectual Property Lawyer

ANZSCO 271214
Judicial and Other Legal Professionals nec

ANZSCO 271299
Solicitor

ANZSCO 271311
Careers Counsellor

ANZSCO 272111
Drug and Alcohol Counsellor

ANZSCO 272112
Family and Marriage Counsellor

ANZSCO 272113
Rehabilitation Counsellor

ANZSCO 272114
Student Counsellor

ANZSCO 272115
Counsellors nec

ANZSCO 272199
Clinical Psychologist

ANZSCO 272311
Educational Psychologist

ANZSCO 272312
Organisational Psychologist

ANZSCO 272313
Psychotherapist

ANZSCO 272314
Psychologists nec

ANZSCO 272399
Interpreter

ANZSCO 272412
Translator

ANZSCO 272413
Social Professionals nec

ANZSCO 272499
Social Worker

ANZSCO 272511
Recreation Officer

ANZSCO 272612
Welfare Worker

ANZSCO 272613
"Engineering, ICT & Science Technicians"
Agricultural Technician

ANZSCO 311111
Anaesthetic Technician

ANZSCO 311211
Cardiac Technician

ANZSCO 311212
